                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4479,                 3.0343,                 1.2363,                0.02838,                0.96154,                 0.1248,                0.07486,                 1.1688,                 2.9283,                 1.0061,                0.00024,                0.00024,                0.00024
                      2,                 1.2984,                 1.6553,                 1.0977,                      1,                0.75314,                0.96412,                0.63655,                 1.2262,                 1.9109,                 1.0494,               0.000467,               0.000467,               0.000467
                      3,                  1.288,                0.97522,                 1.1076,                      1,                0.95439,                0.96771,                0.63285,                 1.2183,                 1.2467,                 1.0394,             0.00065968,             0.00065968,             0.00065968
                      4,                 1.2832,                0.93038,                 1.1004,                0.98701,                0.96154,                0.96723,                0.66664,                 1.1658,                0.98426,                 1.0425,             0.00081804,             0.00081804,             0.00081804
                      5,                 1.2504,                0.91547,                 1.0725,                0.99079,                0.96154,                0.97451,                0.67514,                  1.191,                0.86758,                 1.0614,             0.00094208,             0.00094208,             0.00094208
                      6,                 1.2278,                 1.0558,                 1.0843,                0.99736,                0.96154,                0.96902,                0.67108,                 1.2045,                0.82662,                 1.0848,              0.0010318,              0.0010318,              0.0010318
                      7,                 1.1099,                0.89618,                 1.0347,                0.95813,                0.92308,                0.95253,                0.63528,                 1.1877,                0.86622,                 1.0901,              0.0010872,              0.0010872,              0.0010872
                      8,                 1.1437,                0.87556,                 1.0499,                0.96141,                0.95823,                0.96937,                0.65848,                 1.1388,                0.73248,                 1.0642,               0.001076,               0.001076,               0.001076
                      9,                 1.0927,                0.84475,                 1.0209,                0.99485,                0.96154,                 0.9816,                0.70514,                 1.1059,                0.74354,                 1.0499,               0.000944,               0.000944,               0.000944
                     10,                 1.0919,                0.79496,                 1.0129,                0.99531,                0.96154,                  0.985,                0.72423,                  1.085,                0.70656,                 1.0464,               0.000812,               0.000812,               0.000812
                     11,                 1.0686,                0.73646,                 1.0129,                0.99616,                0.96154,                0.98864,                0.73695,                 1.0463,                0.65198,                 1.0146,                0.00068,                0.00068,                0.00068
                     12,                 1.0218,                 0.7202,                0.99362,                0.99745,                0.96154,                0.98938,                0.74381,                 1.0626,                0.66262,                 1.0151,               0.000548,               0.000548,               0.000548
                     13,                   1.04,                0.69589,                0.98243,                0.99759,                0.96154,                0.98794,                0.73463,                 1.0809,                0.68168,                 1.0251,               0.000416,               0.000416,               0.000416
                     14,                 1.0133,                0.68503,                0.99134,                0.99795,                0.96154,                0.98794,                0.70559,                 1.1016,                0.67317,                 1.0274,               0.000284,               0.000284,               0.000284
                     15,                 1.0115,                0.68019,                0.97503,                0.99803,                0.96154,                0.98938,                0.68891,                 1.0988,                0.66715,                 1.0269,               0.000152,               0.000152,               0.000152
